energy_center_gev track_center_m mu_fitted sigma_fitted
1.539927 0.432520 -1.314675 0.854255
1.539927 0.583209 -1.314675 0.854255
1.539927 0.786398 -2.043890 0.234809
1.539927 1.060378 -2.043890 0.234809
1.539927 1.429813 -2.043890 0.234809
1.539927 1.927958 -2.043890 0.234809
1.539927 2.599657 -2.043890 0.234809
1.539927 3.505374 -2.043890 0.234809
1.539927 4.726642 -2.043890 0.234809
1.539927 6.373399 -1.979615 0.216723
1.539927 8.593884 -1.913802 0.214858
1.539927 11.587984 -1.906107 0.215382
1.539927 15.625224 -1.906107 0.215382
1.539927 21.069035 -1.906107 0.215382
1.539927 28.409463 -1.634577 0.147888
1.539927 38.307288 -1.634577 0.147888
1.539927 51.653503 -1.634577 0.147888
1.539927 69.649526 -1.634577 0.147888
1.539927 93.915342 -1.634577 0.147888
1.539927 126.635341 -1.634577 0.147888
2.116693 0.432520 -1.314675 0.854255
2.116693 0.583209 -1.314675 0.854255
2.116693 0.786398 -1.314675 0.854255
2.116693 1.060378 -2.043890 0.234809
2.116693 1.429813 -2.043890 0.234809
2.116693 1.927958 -2.043890 0.234809
2.116693 2.599657 -2.043890 0.234809
2.116693 3.505374 -1.956099 0.289020
2.116693 4.726642 -1.909333 0.238552
2.116693 6.373399 -1.866624 0.198966
2.116693 8.593884 -1.832097 0.188617
2.116693 11.587984 -1.814855 0.201250
2.116693 15.625224 -1.691699 0.188720
2.116693 21.069035 -1.691699 0.188720
2.116693 28.409463 -1.634577 0.147888
2.116693 38.307288 -1.634577 0.147888
2.116693 51.653503 -1.634577 0.147888
2.116693 69.649526 -1.634577 0.147888
2.116693 93.915342 -1.634577 0.147888
2.116693 126.635341 -1.634577 0.147888
2.909483 0.432520 -1.314675 0.854255
2.909483 0.583209 -1.314675 0.854255
2.909483 0.786398 -1.314675 0.854255
2.909483 1.060378 -1.314675 0.854255
2.909483 1.429813 -2.043890 0.234809
2.909483 1.927958 -2.043890 0.234809
2.909483 2.599657 -1.843360 0.368105
2.909483 3.505374 -1.816207 0.290381
2.909483 4.726642 -1.775505 0.242655
2.909483 6.373399 -1.738859 0.201953
2.909483 8.593884 -1.727747 0.174058
2.909483 11.587984 -1.740243 0.186744
2.909483 15.625224 -1.741179 0.192492
2.909483 21.069035 -1.701593 0.174813
2.909483 28.409463 -1.634577 0.147888
2.909483 38.307288 -1.634577 0.147888
2.909483 51.653503 -1.634577 0.147888
2.909483 69.649526 -1.634577 0.147888
2.909483 93.915342 -1.634577 0.147888
2.909483 126.635341 -1.509370 0.116071
3.999205 0.432520 -1.314675 0.854255
3.999205 0.583209 -1.314675 0.854255
3.999205 0.786398 -1.314675 0.854255
3.999205 1.060378 -1.314675 0.854255
3.999205 1.429813 -1.718738 0.554887
3.999205 1.927958 -1.714897 0.457947
3.999205 2.599657 -1.704218 0.367002
3.999205 3.505374 -1.684179 0.294217
3.999205 4.726642 -1.650848 0.251595
3.999205 6.373399 -1.617513 0.213703
3.999205 8.593884 -1.611303 0.188566
3.999205 11.587984 -1.632664 0.184157
3.999205 15.625224 -1.660457 0.187785
3.999205 21.069035 -1.668398 0.178176
3.999205 28.409463 -1.641533 0.155446
3.999205 38.307288 -1.634577 0.147888
3.999205 51.653503 -1.634577 0.147888
3.999205 69.649526 -1.509370 0.116071
3.999205 93.915342 -1.509370 0.116071
3.999205 126.635341 -1.509370 0.116071
5.497074 0.432520 -1.314675 0.854255
5.497074 0.583209 -1.314675 0.854255
5.497074 0.786398 -1.314675 0.854255
5.497074 1.060378 -1.568706 0.642989
5.497074 1.429813 -1.577390 0.543142
5.497074 1.927958 -1.580643 0.450300
